drug_id	dname	smiles_cleanup_status	n_active_bits	fraction_active_bits	n_atoms	n_heavy_atoms	n_fragments	molecular_weight_rdkit	formal_charge
43	anastrozole	original	34	0.0166015625	22.0	22.0	1.0	293.374	0.0
44	Axitinib	original	52	0.025390625	28.0	28.0	1.0	386.48	0.0
45	5-azacytidine	original	37	0.01806640625	17.0	17.0	1.0	244.207	0.0
46	Bendamustine hydrochloride	original	46	0.0224609375	24.0	24.0	2.0	394.7300000000001	0.0
47	Bleomycin sulfate	original	145	0.07080078125	101.0	101.0	2.0	1512.6470000000006	0.0
48	busulfan	original	15	0.00732421875	14.0	14.0	1.0	246.30599999999998	0.0
49	CABAZITAXEL	original	92	0.044921875	60.0	60.0	1.0	835.9440000000003	0.0
50	CAPECITABINE	original	53	0.02587890625	25.0	25.0	1.0	359.35400000000004	0.0
51	carmustine	original	25	0.01220703125	12.0	12.0	1.0	214.05199999999996	0.0
52	celecoxib	original	40	0.01953125	26.0	26.0	1.0	381.3790000000001	0.0
53	chlorambucil	original	31	0.01513671875	19.0	19.0	1.0	304.217	0.0
54	Cladribine	original	44	0.021484375	19.0	19.0	1.0	285.691	0.0
55	Clofarabine	original	45	0.02197265625	20.0	20.0	1.0	303.6809999999999	0.0
56	Crizotinib	original	60	0.029296875	30.0	30.0	1.0	450.3450000000002	0.0
57	CYTARABINE HYDROCHLORIDE	original	38	0.0185546875	18.0	18.0	2.0	279.68	0.0
58	dacarbazine	selected_first_valid_semicolon_candidate	30	0.0146484375	13.0	13.0	1.0	182.18699999999998	0.0
59	DACTINOMYCIN	original	90	0.0439453125	90.0	90.0	1.0	1255.4379999999985	0.0
60	23541-50-6	original	69	0.03369140625	39.0	39.0	2.0	563.9870000000003	0.0
61	Decitabine	original	39	0.01904296875	16.0	16.0	1.0	228.20799999999997	0.0
62	Dexrazoxane	original	25	0.01220703125	19.0	19.0	1.0	268.27299999999997	0.0
63	docetaxel	original	89	0.04345703125	58.0	58.0	1.0	807.8900000000004	0.0
