TF	in_fixed_ULM	in_contextualized_ULM
LYL1	True	True
MAF	True	True
MAFA	True	True
MAFB	True	True
MAFG	True	False
MAFK	True	True
MAML1	True	False
MAX	True	True
MAZ	True	True
MBD1	True	True
MBD2	True	True
MECOM	True	True
MECP2	True	True
MED1	True	True
MEF2A	True	True
MEF2B	True	False
MEF2C	True	True
MEF2D	True	True
MEIS1	True	True
MEIS2	True	False
MEOX1	True	True
MEOX2	True	False
MESP2	True	False
MITF	True	True
MIXL1	True	False
MKX	True	False
MLX	True	False
MLXIP	True	False
MLXIPL	True	True
MNT	True	True
MNX1	True	False
MSC	True	True
MSX1	True	True
MSX2	True	True
MTA1	True	True
MTA2	True	False
MTA3	True	True
MTF1	True	True
MTF2	True	False
MXD1	True	True
MXI1	True	False
MYB	True	True
MYBL1	True	True
MYBL2	True	True
MYC	True	True
MYCN	True	True
MYF5	True	True
MYF6	True	True
MYOCD	True	True
MYOD1	True	True
MYOG	True	True
MYRF	True	False
MYT1	True	True
MZF1	True	True
NAB2	True	True
NACC1	True	False
NANOG	True	False
NCOA1	True	True
NCOA2	True	True
NCOA3	True	True
NCOA6	True	False
NCOR1	True	True
NCOR2	True	True
NEUROD1	True	True
NEUROD2	True	False
NEUROD6	True	True
NEUROG1	True	True
NEUROG2	True	True
NEUROG3	True	True
NFAT5	True	True
NFATC1	True	True
NFATC2	True	True
NFATC3	True	True
NFATC4	True	True
NFE2	True	True
NFE2L1	True	True
NFE2L2	True	True
NFE2L3	True	False
NFIA	True	True
NFIB	True	True
NFIC	True	True
NFIL3	True	True
NFIX	True	True
NFKB	True	False
NFKB1	True	True
NFKB2	True	True
NFKBIB	True	True
NFKBIZ	True	True
NFX1	True	False
NFYA	True	True
NFYB	True	True
NFYC	True	True
NHLH1	True	False
NHLH2	True	True
NKRF	True	True
NKX2-1	True	True
NKX2-2	True	True
NKX2-5	True	True
NKX3-1	True	True
NKX3-2	True	False
NKX6-1	True	True
NKX6-2	True	False
NKX6-3	True	False
NONO	True	True
NOTCH1	True	True
NOTO	True	False
NPAS2	True	True
NPAS4	True	False
NPM1	True	True
NR0B1	True	True
NR0B2	True	True
NR1D1	True	True
NR1D2	True	False
NR1H2	True	True
NR1H3	True	True
NR1H4	True	True
NR1I2	True	True
NR1I3	True	True
NR2C1	True	True
NR2C2	True	True
NR2E1	True	True
NR2E3	True	True
NR2F1	True	True
NR2F2	True	True
NR2F6	True	False
NR3C1	True	True
NR3C2	True	True
NR4A1	True	True
NR4A2	True	True
NR4A3	True	True
NR5A1	True	True
NR5A2	True	True
NR6A1	True	True
NRF1	True	True
NRG1	True	True
NRL	True	True
NSD2	True	True
NUPR1	True	True
OLIG1	True	False
OLIG2	True	True
ONECUT1	True	True
OTX2	True	True
OVOL1	True	False
PA2G4	True	False
PARK7	True	True
PATZ1	True	True
PAWR	True	False
PAX1	True	True
PAX2	True	True
PAX3	True	True
PAX4	True	False
PAX5	True	True
PAX6	True	True
PAX7	True	True
PAX8	True	True
PAX9	True	True
PBRM1	True	True
PBX1	True	True
PBX2	True	True
PDX1	True	True
PEG3	True	False
PGR	True	True
PHF20	True	False
PHF5A	True	False
PHOX2A	True	True
PHOX2B	True	True
PIAS1	True	False
PIN1	True	False
PITX1	True	True
PITX2	True	True
PITX3	True	True
PKNOX1	True	True
PLAG1	True	False
PLAGL1	True	True
PLAGL2	True	False
PML	True	True
POU1F1	True	False
POU2AF1	True	False
POU2F1	True	True
POU2F2	True	True
POU2F3	True	True
POU3F1	True	True
POU3F2	True	True
POU3F4	True	False
POU4F1	True	True
POU4F2	True	True
POU4F3	True	False
POU5F1	True	True
PPARA	True	True
PPARD	True	True
PPARG	True	True
PPARGC1A	True	True
PPARGC1B	True	False
PRDM1	True	True
PRDM16	True	False
PRDM2	True	True
PRDM4	True	False
PREB	True	True
PROP1	True	False
PROX1	True	True
PRRX1	True	True
PTF1A	True	True
PURA	True	True
RARA	True	True
RARB	True	True
RARG	True	True
RB1	True	True
RBPJ	True	True
RCOR2	True	True
REL	True	True
RELA	True	True
RELB	True	True
REST	True	True
RFX1	True	True
RFX2	True	False
RFX3	True	True
RFX4	True	False
RFX5	True	True
RFXANK	True	True
RFXAP	True	True
RLF	True	False
RORA	True	True
RORB	True	False
RORC	True	True
RREB1	True	False
RUNX1	True	True
RUNX2	True	True
RUNX3	True	True
RXRA	True	True
RXRB	True	True
RXRG	True	False
SALL1	True	False
SALL2	True	False
SALL3	True	False
SALL4	True	True
SATB1	True	True
SATB2	True	True
SCX	True	False
SETBP1	True	False
SF1	True	True
SFPQ	True	True
SHOX2	True	False
SIM2	True	True
SIN3A	True	True
SIRT1	True	True
SIX1	True	True
SIX3	True	True
SIX4	True	True
SKIL	True	True
SMAD1	True	True
SMAD2	True	True
SMAD3	True	True
SMAD4	True	True
SMAD5	True	True
SMAD6	True	True
SMAD7	True	True
SMAD9	True	False
SMARCA1	True	True
SMARCA4	True	True
SMARCA5	True	True
SMARCB1	True	True
SMARCC1	True	False
SNAI1	True	True
SNAI2	True	True
SON	True	False
SOX10	True	True
SOX11	True	True
SOX17	True	True
SOX18	True	False
SOX2	True	True
SOX3	True	False
SOX4	True	True
SOX5	True	True
SOX6	True	True
SOX7	True	False
SOX9	True	True
SP1	True	True
SP2	True	True
SP3	True	True
SP4	True	True
SP6	True	False
SP7	True	True
SPDEF	True	True
SPI1	True	True
SPIB	True	True
SPIC	True	False
SREBF1	True	True
SREBF2	True	True
SRF	True	True
SRSF2	True	True
SRY	True	False
SSRP1	True	True
STAT1	True	True
STAT2	True	True
STAT3	True	True
STAT4	True	True
STAT5A	True	True
STAT5B	True	True
STAT6	True	True
STOX1	True	True
SUPT20H	True	False
TADA2A	True	True
TAF1	True	True
TAL1	True	True
TBP	True	True
TBPL1	True	True
TBPL2	True	False
TBR1	True	False
TBX1	True	True
TBX10	True	False
TBX15	True	True
TBX18	True	True
TBX2	True	True
TBX20	True	False
TBX21	True	True
TBX3	True	True
TBX5	True	True
TBX6	True	True
TBXT	True	False
TCF12	True	True
TCF15	True	False
TCF20	True	False
TCF21	True	True
TCF3	True	True
TCF4	True	True
TCF7	True	True
TCF7L1	True	False
TCF7L2	True	True
TEAD1	True	True
TEAD2	True	False
TEAD4	True	True
TEF	True	True
TET1	True	True
TFAM	True	True
TFAP2A	True	True
TFAP2B	True	True
TFAP2C	True	True
TFAP2D	True	False
TFAP4	True	True
TFCP2	True	True
TFDP1	True	True
TFDP2	True	False
TFDP3	True	False
TFE3	True	True
TFEB	True	False
TGFB1I1	True	True
TGIF1	True	False
THAP11	True	False
THRA	True	True
THRB	True	True
TLX1	True	False
TLX2	True	False
TLX3	True	False
TOX	True	False
TOX3	True	False
TP53	True	True
TP63	True	True
TP73	True	True
TRERF1	True	True
TRIM28	True	False
TRPS1	True	True
TSC22D1	True	False
TSHZ3	True	False
TTF1	True	True
TWIST1	True	True
TWIST2	True	True
UBTF	True	True
USF1	True	True
USF2	True	True
UTF1	True	False
VDR	True	True
VENTX	True	False
VEZF1	True	False
VHL	True	True
VSX1	True	False
VSX2	True	True
WT1	True	True
WWTR1	True	True
XBP1	True	True
YAP1	True	True
YBX1	True	True
YBX3	True	True
YY1	True	True
ZBED1	True	True
ZBTB14	True	False
ZBTB16	True	True
ZBTB17	True	True
ZBTB18	True	False
ZBTB32	True	False
ZBTB33	True	True
ZBTB38	True	False
ZBTB4	True	True
ZBTB7A	True	True
ZBTB7B	True	True
ZEB1	True	True
ZEB2	True	True
ZFHX3	True	True
ZFP42	True	True
ZFP64	True	False
ZFPM1	True	True
ZFPM2	True	True
ZFX	True	False
ZGLP1	True	True
ZGPAT	True	True
ZHX2	True	False
ZIC1	True	True
ZIC2	True	False
ZKSCAN7	True	True
ZMYND8	True	False
ZNF143	True	True
ZNF148	True	True
ZNF160	True	False
ZNF202	True	False
ZNF217	True	False
ZNF219	True	False
ZNF236	True	True
ZNF24	True	False
ZNF263	True	True
ZNF300	True	False
ZNF331	True	True
ZNF335	True	False
ZNF350	True	False
ZNF354C	True	True
ZNF362	True	True
ZNF382	True	True
ZNF384	True	True
ZNF395	True	False
ZNF410	True	False
ZNF423	True	False
ZNF436	True	False
ZNF699	True	True
ZNF76	True	True
ZNF804A	True	False
ZNF91	True	True
ZXDC	True	False
